,,,E16.5#14-51-2,E16.5#14-51-4,E16.5#14-51-9,E18.5 # 1,E18.5 # 2,E18.5 # 3,P0.5 A,P0.5 B,P0.5 C,P1 d,P1 h,P1 i ,P1.5 c,P1.5 d,P1.5 g,P2.5 c,P2.5 g,P2.5 j,P4 a,P4 b,P4 f,P5 a,P5 b,P5 f,P7 a,P7 b,P7 c,P10 d,P10 e,P10 f,P13.5 a,P13.5 b,P13.5 c,P15 a,P15 b,P15 c,P19 c,P19 e,P19 f,P23 d,P23 e,P23 f ,P28c,P28d,P28e
Thioredoxin-dependent peroxide reductase/ mitochondrial ,P20108,28 kDa,6.57,3.46,7.22,7.13,4.62,1.52,4.65,11.21,12.52,18.08,12.03,9.18,6.90,13.18,12.23,8.93,4.39,8.37,5.75,3.84,0.00,3.78,4.12,4.93,7.60,2.48,8.89,12.39,6.78,9.09,11.69,9.04,9.24,11.28,4.52,0.00,12.78,3.74,7.41,10.34,8.27,7.47,6.24,7.25,9.78
Thioredoxin-like protein 1 ,Q8CDN6,32 kDa,4.93,0.00,0.00,0.00,0.00,0.00,2.32,0.00,1.25,1.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,1.05,3.28,1.53,6.71,0.94,0.00,1.64,1.90,0.83,0.00,0.89,0.85,0.00,0.97,1.81,0.92,0.00,0.90,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thiosulfate sulfurtransferase ,P52196,33 kDa,0.00,2.30,0.00,9.51,8.08,10.64,8.13,4.98,1.25,0.00,1.20,1.15,7.89,16.69,4.70,0.99,2.19,0.00,9.03,0.77,0.84,6.61,2.06,5.75,0.00,0.00,1.98,0.00,0.85,0.00,2.92,0.90,0.92,5.13,0.00,0.00,5.48,1.87,1.85,0.00,0.75,0.00,0.00,0.00,1.09
THO complex subunit 4 ,O08583,27 kDa,1.64,0.00,0.00,0.00,1.15,0.00,0.00,0.00,2.50,1.00,0.00,0.00,0.00,0.88,4.70,0.00,0.00,2.09,0.00,0.77,6.71,5.67,2.06,7.39,11.41,9.10,8.89,0.89,5.09,3.64,4.87,1.81,1.85,0.00,1.81,1.74,5.48,0.00,8.34,0.00,4.51,8.41,9.35,0.00,7.60
Thrombomodulin ,P15306,62 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.90,0.00,1.83,2.81,0.00,3.45,0.00,1.87,0.00,1.21,1.09
Thrombospondin 1 ,Q8CGB2 (+1),130 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.61,0.00,0.00,0.88,0.00,0.00,3.29,0.00,6.57,2.30,0.00,0.94,0.00,0.82,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.81,0.00,3.45,0.00,0.00,0.00,0.00,0.00
Thyroid hormone receptor-associated protein 3 ,Q569Z6,108 kDa,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.94,0.00,1.10,1.05,0.00,1.53,0.00,1.89,0.00,0.00,0.00,0.00,0.00,2.66,3.39,0.00,0.00,0.90,2.77,1.03,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tight junction protein ZO-1 ,P39447,195 kDa,0.00,2.30,1.81,5.94,5.77,0.00,9.29,21.17,11.27,23.10,13.23,16.06,18.74,22.84,16.93,27.79,13.17,27.20,16.42,17.65,15.93,35.91,12.36,9.04,15.21,10.75,1.98,15.05,8.48,11.82,27.28,15.37,21.25,21.54,11.74,3.48,9.13,17.79,13.90,6.89,9.02,12.14,6.24,2.42,18.47
Tight junction protein ZO-2 ,Q9Z0U1,131 kDa,0.00,0.00,0.00,0.00,1.15,0.00,1.16,4.98,3.76,2.01,4.81,5.74,0.99,8.78,0.00,2.98,1.10,1.05,5.75,2.30,1.68,4.72,0.00,4.11,1.90,0.00,0.00,4.43,0.00,0.00,1.95,0.00,0.00,1.03,1.81,0.00,0.00,3.74,0.93,0.00,1.50,0.00,4.68,0.00,2.17
Titin ,A2ASS6,3906 kDa,0.00,0.00,1.81,0.00,1.15,1.52,4.65,2.49,1.25,1.00,0.00,4.59,1.97,0.00,2.82,0.00,3.29,0.00,1.64,0.00,0.84,0.94,2.06,1.64,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.92,0.00,0.90,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tns1 protein ,Q7TPM8 (+1),65 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,3.74,3.76,0.00,0.00,0.00,0.00,1.76,0.00,0.00,0.00,1.05,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00,0.00,0.00,1.03,0.00,0.00,0.91,0.94,0.00,2.59,0.75,0.00,0.78,0.00,0.00
Toll-interacting protein ,Q9QZ06,30 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,2.49,0.00,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,1.81,0.00,3.65,3.74,1.85,1.72,3.01,0.93,1.56,0.00,0.00
Tpm1 protein ,B7ZNL3,33 kDa,0.00,142.86,120.97,55.87,0.00,41.04,59.24,58.54,0.00,0.00,0.00,65.38,0.00,86.09,62.07,0.00,87.79,0.00,59.94,85.94,77.11,62.37,68.98,61.62,64.63,67.81,78.04,74.35,59.33,60.90,60.41,54.23,58.21,43.07,59.60,107.91,67.57,79.57,48.19,67.22,69.89,88.73,69.38,123.18,89.08
Tpm2 protein ,Q91VH3,35 kDa,67.32,84.11,68.61,55.87,47.33,33.44,51.11,44.84,41.32,57.25,51.73,44.73,50.29,66.76,62.07,50.62,70.23,53.36,56.65,69.06,62.86,51.97,61.78,48.47,61.78,48.79,65.20,65.50,46.62,39.09,52.62,0.00,38.80,31.79,37.02,104.43,52.96,0.00,0.00,48.26,45.09,50.44,43.65,70.04,65.18
Tpm3 protein ,Q58E70,29 kDa,64.03,78.34,54.17,70.14,55.41,50.16,83.63,83.44,70.12,87.38,87.82,78.00,81.85,60.62,69.59,72.45,98.76,87.89,59.94,62.15,81.30,72.76,78.25,69.01,70.33,69.46,96.81,90.28,70.35,72.72,88.67,78.64,68.37,76.92,77.66,137.50,68.48,89.87,65.80,81.01,84.17,93.40,88.87,148.54,101.03
Transaldolase ,Q93092,37 kDa,1.64,1.15,0.00,2.38,3.46,0.00,4.65,4.98,0.00,1.00,2.41,0.00,1.97,0.00,0.00,1.99,0.00,2.09,1.64,1.53,1.68,0.00,5.15,0.82,5.70,0.00,3.95,0.00,0.00,0.00,0.97,6.33,5.54,2.05,0.00,0.00,0.00,0.94,4.63,0.86,1.50,0.93,3.12,0.00,2.17
Transcription elongation factor A protein 1 ,P10711,34 kDa,21.35,13.83,16.25,20.21,25.40,15.20,15.10,8.72,11.27,8.04,7.22,6.88,7.89,5.27,6.58,2.98,12.07,2.09,6.57,7.67,7.54,11.34,8.24,13.97,13.31,4.96,6.91,5.31,7.63,5.45,5.85,9.94,6.47,4.10,4.52,0.00,10.04,12.17,5.56,10.34,5.26,1.87,10.91,3.62,2.17
Transcription elongation factor B polypeptide 2 ,P62869,13 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Transcription elongation regulator 1 ,Q8CGF7,124 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.99,0.88,0.00,0.00,3.29,0.00,0.00,0.77,0.84,0.94,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Transcription factor A/ mitochondrial ,P40630,28 kDa,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,1.15,0.00,0.00,0.00,0.99,1.10,0.00,0.00,0.77,1.68,0.00,0.00,0.00,2.85,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,1.81,0.00,0.00,0.00,0.00,0.00,0.00,1.87,0.00,0.00,0.00
Transcription factor BTF3 ,Q64152,22 kDa,0.00,2.30,3.61,2.38,0.00,0.00,3.48,0.00,1.25,4.02,0.00,2.29,0.99,4.39,2.82,1.99,2.19,1.05,4.93,6.14,5.03,2.83,1.03,6.57,2.85,3.31,3.95,3.54,6.78,6.36,1.95,4.52,5.54,2.05,6.32,0.00,4.57,3.74,7.41,6.03,5.26,3.74,4.68,1.21,4.35
Transcriptional activator protein Pur-alpha ,P42669,35 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,6.15,0.94,0.99,0.00,0.00,6.57,5.37,6.71,3.78,1.03,4.93,0.95,5.79,2.96,7.97,5.09,6.36,6.82,6.33,7.39,5.13,6.32,3.48,7.30,4.68,4.63,3.45,5.26,7.47,2.34,0.00,1.09
Transcriptional activator protein Pur-beta ,O35295,34 kDa,9.85,2.30,9.03,5.94,6.93,0.00,5.81,3.74,2.50,2.01,3.61,5.74,6.90,0.88,1.88,2.98,2.19,2.09,4.93,4.60,1.68,1.89,3.09,4.93,3.80,6.62,1.98,3.54,3.39,2.73,6.82,3.62,1.85,6.15,2.71,0.00,4.57,9.36,6.49,3.45,3.76,0.00,3.12,0.00,2.17
Transcriptional coactivator YAP1 ,P46938,52 kDa,0.00,0.00,0.00,1.19,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.51,0.00,0.00,0.82,0.00,1.65,0.00,0.00,0.85,1.82,0.97,6.33,1.85,0.00,3.61,0.00,1.83,0.94,2.78,2.59,5.26,4.67,1.56,0.00,0.00
Transformer-2 protein homolog alpha ,Q6PFR5,32 kDa,1.64,1.15,0.00,3.57,2.31,0.00,4.65,3.74,1.25,4.02,3.61,4.59,0.99,2.64,1.88,4.96,2.19,4.19,3.28,3.07,3.35,2.83,2.06,3.29,3.80,3.31,2.96,3.54,5.93,9.09,4.87,3.62,7.39,4.10,3.61,0.00,0.91,0.00,0.00,1.72,3.01,0.93,2.34,0.00,0.00
Transforming growth factor-beta-induced protein ig-h3 ,P82198,75 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Transforming protein RhoA ,Q9QUI0,22 kDa,9.85,17.28,5.42,19.02,13.85,16.72,24.39,21.17,21.29,31.14,31.28,24.09,28.60,21.08,31.03,24.81,27.43,17.79,21.35,14.58,23.47,24.57,18.53,19.72,19.96,15.71,20.75,16.82,12.71,13.64,17.54,12.65,23.10,17.43,17.16,19.15,25.57,22.47,24.09,28.44,24.80,27.09,21.83,32.61,19.56
Transgelin ,P37804,23 kDa,9.85,0.00,21.67,0.00,2.31,0.00,9.29,6.23,5.01,10.04,20.45,11.47,13.81,10.54,9.40,10.92,6.58,4.19,2.46,8.44,15.93,16.06,21.62,8.22,16.16,16.54,23.71,10.62,11.87,7.27,8.77,9.04,10.16,9.23,8.13,0.00,14.61,7.49,7.41,1.72,3.76,15.88,5.46,15.70,16.30
Transgelin-2 ,Q9WVA4,22 kDa,31.20,21.89,39.72,45.18,46.17,38.00,39.49,32.38,52.59,42.18,40.90,44.73,55.22,42.17,35.74,35.73,38.41,51.27,41.87,45.27,56.16,71.81,73.10,37.79,68.43,46.31,49.39,46.02,45.77,39.09,51.64,54.23,29.56,56.40,42.44,69.62,43.83,49.61,47.26,43.09,54.86,59.78,38.98,77.29,57.58
Transketolase ,P40142,68 kDa,14.78,26.50,14.45,55.87,63.49,30.40,26.71,42.34,17.53,12.05,24.06,11.47,40.43,46.56,26.33,22.83,25.24,21.97,28.74,17.65,13.41,22.68,20.59,27.93,9.50,22.33,44.45,17.70,38.99,19.09,14.62,21.69,21.25,14.36,24.38,6.96,12.78,26.21,25.02,17.24,26.30,20.55,14.81,10.87,20.64
Translationally-controlled tumor protein ,P63028,19 kDa,4.93,6.91,3.61,2.38,2.31,0.00,0.00,0.00,2.50,4.02,3.61,0.00,1.97,1.76,0.94,3.97,4.39,1.05,0.82,5.37,1.68,3.78,4.12,3.29,5.70,4.13,0.99,6.20,2.54,4.55,2.92,0.90,3.70,3.08,2.71,1.74,0.91,1.87,4.63,2.59,0.00,2.80,1.56,0.00,0.00
Translocon-associated protein alpha/ muscle specific isoform ,Q52PE3,34 kDa,0.00,1.15,7.22,0.00,0.00,0.00,2.32,4.98,5.01,0.00,4.81,4.59,0.00,1.76,1.88,3.97,1.10,0.00,0.82,0.77,0.00,1.89,3.09,1.64,4.75,0.00,2.96,2.66,2.54,3.64,1.95,1.81,0.00,0.00,1.81,0.00,0.00,2.81,2.78,1.72,0.00,2.80,0.78,1.21,3.26
Translocon-associated protein subunit delta ,Q62186 (+1),19 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,2.50,0.00,2.41,0.00,0.00,5.27,1.88,0.00,0.00,0.00,2.46,2.30,0.00,0.00,0.00,4.11,0.00,0.00,0.00,0.89,1.70,0.00,1.95,0.90,1.85,1.03,0.00,0.00,3.65,1.87,4.63,0.00,2.25,0.93,0.00,0.00,0.00
Transmembrane emp24 domain-containing protein 10 ,Q9D1D4,25 kDa,0.00,0.00,7.22,3.57,4.62,4.56,0.00,1.25,6.26,3.01,3.61,1.15,1.97,4.39,4.70,3.97,3.29,7.32,0.82,1.53,1.68,0.00,2.06,0.00,0.95,3.31,2.96,5.31,5.09,3.64,5.85,3.62,3.70,6.15,0.00,0.00,3.65,3.74,5.56,2.59,2.25,1.87,3.90,0.00,4.35
Transmembrane emp24 domain-containing protein 9 ,Q99KF1,27 kDa,0.00,1.15,0.00,2.38,0.00,0.00,4.65,3.74,1.25,3.01,6.02,4.59,0.00,0.00,2.82,1.99,0.00,3.14,0.82,0.00,0.00,0.00,1.03,1.64,4.75,0.00,0.00,0.89,0.00,0.00,1.95,0.90,0.00,1.03,0.90,0.00,0.00,0.00,1.85,0.86,0.75,2.80,0.00,2.42,4.35
Transthyretin ,P07309,16 kDa,0.00,4.61,3.61,3.57,2.31,3.04,2.32,0.00,3.76,0.00,1.20,2.29,0.00,0.00,0.00,0.00,0.00,0.00,3.28,1.53,1.68,0.94,4.12,0.82,0.95,3.31,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,2.71,0.00,0.00,0.94,0.93,2.59,0.75,0.00,3.12,0.00,0.00
Treacle protein ,O08784,135 kDa,1.64,3.46,0.00,3.57,4.62,0.00,1.16,1.25,0.00,3.01,0.00,1.15,0.00,4.39,0.94,1.99,0.00,4.19,4.11,2.30,5.03,0.00,0.00,3.29,0.00,1.65,0.00,0.00,0.00,1.82,0.00,2.71,0.00,0.00,0.90,0.00,0.91,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00
Triosephosphate isomerase ,P17751,32 kDa,8.21,9.22,12.64,5.94,3.46,7.60,6.97,8.72,2.50,10.04,4.81,4.59,7.89,6.15,2.82,6.95,4.39,4.19,7.39,1.53,6.71,0.94,3.09,3.29,2.85,3.31,0.00,0.00,1.70,0.00,0.00,1.81,4.62,0.00,1.81,1.74,0.00,2.81,0.00,1.72,0.00,0.00,6.24,0.00,0.00
Tripeptidyl peptidase I/ isoform CRA_a ,Q8BNF3,35 kDa,0.00,0.00,0.00,0.00,0.00,0.00,2.32,1.25,1.25,3.01,0.00,2.29,1.97,0.00,0.94,2.98,3.29,0.00,3.28,4.60,3.35,3.78,6.18,1.64,4.75,3.31,2.96,5.31,1.70,2.73,0.00,1.81,2.77,5.13,6.32,1.74,7.30,11.23,8.34,9.48,9.02,9.34,7.80,1.21,4.35
tRNA-splicing ligase RtcB homolog ,Q99LF4,55 kDa,11.49,3.46,1.81,2.38,8.08,6.08,5.81,4.98,6.26,6.03,4.81,6.88,4.93,7.03,5.64,5.96,6.58,0.00,0.82,1.53,0.00,1.89,3.09,2.46,0.00,0.83,3.95,6.20,1.70,3.64,1.95,0.00,2.77,2.05,0.90,0.00,4.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tropomodulin-1 ,P49813,40 kDa,1.64,3.46,1.81,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.88,2.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.99,0.89,0.00,0.00,2.92,1.81,0.00,5.13,3.61,3.48,9.13,6.55,7.41,8.62,9.77,3.74,7.02,2.42,2.17
Tropomodulin-3 ,Q9JHJ0,40 kDa,13.14,5.76,14.45,11.89,13.85,16.72,16.26,19.93,22.54,10.04,26.47,22.94,6.90,6.15,14.11,11.91,12.07,9.42,5.75,10.74,8.38,11.34,13.39,6.57,7.60,3.31,5.93,10.62,3.39,10.91,9.74,9.94,9.24,20.51,7.22,12.18,4.57,5.62,5.56,10.34,10.52,12.14,9.35,18.11,11.95
Tropomyosin 1/ alpha ,Q564G1,33 kDa,95.23,170.51,142.64,67.76,62.33,60.80,65.04,69.74,65.11,91.40,84.21,76.85,78.89,84.33,71.47,78.41,106.45,73.24,65.68,85.17,82.98,62.37,70.01,63.26,66.53,76.08,86.93,87.62,70.35,64.54,70.16,55.14,56.36,47.17,58.70,114.88,65.74,79.57,46.33,69.81,67.64,83.13,74.06,128.01,89.08
Tropomyosin 1/ alpha/ isoform CRA_c ,Q8BP43,33 kDa,91.95,0.00,120.97,72.52,63.49,66.88,69.69,69.74,61.36,94.41,80.61,80.29,79.88,83.46,72.41,78.41,103.15,0.00,63.22,75.20,74.60,56.70,66.93,64.08,67.48,71.94,79.03,81.43,0.00,58.18,0.00,54.23,48.97,36.92,46.96,0.00,62.09,69.27,0.00,71.53,60.88,72.85,67.04,120.76,74.96
Tropomyosin 1/ alpha/ isoform CRA_j ,G5E8R1,29 kDa,50.90,118.67,86.67,35.66,42.71,28.88,48.78,53.55,42.57,65.29,61.36,52.76,66.07,65.01,59.25,62.53,82.30,60.69,49.26,64.46,67.05,0.00,59.72,58.33,55.12,60.37,74.09,61.07,57.63,57.27,56.51,43.39,46.19,36.92,55.09,104.43,52.05,75.83,44.48,62.05,64.63,74.72,67.04,123.18,70.61
Tropomyosin alpha-1 chain ,P58771,33 kDa,98.51,186.64,142.64,73.71,64.64,69.92,66.20,0.00,65.11,95.42,0.00,79.14,78.89,87.85,72.41,80.39,105.35,72.19,69.79,83.64,0.00,61.42,73.10,65.72,67.48,78.56,86.93,84.08,69.50,64.54,0.00,53.33,0.00,0.00,0.00,0.00,66.66,0.00,0.00,73.25,64.63,86.86,0.00,130.42,84.74
Tropomyosin alpha-3 chain ,P21107,33 kDa,0.00,72.58,0.00,43.99,31.17,0.00,52.27,42.34,36.31,68.30,55.34,48.17,55.22,45.68,54.55,54.59,69.13,65.92,41.87,54.48,69.57,55.75,53.54,52.58,53.22,43.83,0.00,56.64,41.53,44.54,59.44,46.10,49.89,41.02,50.57,90.51,51.13,64.59,39.85,57.74,58.62,66.32,62.36,99.02,63.01
Tropomyosin alpha-4 chain ,Q6IRU2,28 kDa,21.35,23.04,28.89,63.01,50.79,30.40,61.56,75.97,82.64,95.42,78.20,78.00,58.18,58.86,57.37,68.48,72.43,83.70,54.19,70.60,76.27,86.93,85.46,77.23,66.53,67.81,60.26,74.35,69.50,85.45,58.46,80.45,63.75,63.58,70.44,50.48,64.83,60.85,75.99,64.64,66.14,68.18,64.70,76.08,70.61
Tropomyosin beta chain ,P58774,33 kDa,65.68,85.26,70.42,61.82,46.17,33.44,0.00,0.00,0.00,57.25,52.94,0.00,49.31,65.01,60.19,49.63,68.04,52.31,51.73,64.46,58.67,45.36,58.69,43.54,59.88,43.00,61.25,60.19,44.92,39.09,51.64,43.39,37.88,29.74,36.12,0.00,52.05,47.74,35.21,46.54,45.09,45.77,43.65,66.42,58.66
Troponin C/ skeletal muscle ,P20801,18 kDa,0.00,0.00,0.00,7.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Troponin C/ slow skeletal and cardiac muscles ,P19123,18 kDa,0.00,5.76,14.45,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Troponin I/ slow skeletal muscle ,Q9WUZ5,22 kDa,11.49,12.67,18.06,0.00,0.00,13.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Troponin T/ cardiac muscle ,P50752 (+1),36 kDa,3.28,6.91,10.83,0.00,0.00,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.00
Tryptophan--tRNA ligase/ cytoplasmic ,P32921,54 kDa,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,1.76,0.00,0.00,0.00,0.00,5.75,0.00,0.00,1.89,0.00,4.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tubulin alpha-1C chain ,P68373,50 kDa,4.93,9.22,3.61,8.32,4.62,6.08,3.48,4.98,3.76,10.04,8.42,6.88,5.92,7.91,7.52,8.93,0.00,27.20,4.11,11.51,16.76,8.50,14.42,4.93,24.71,8.27,3.95,15.93,8.48,12.73,9.74,10.85,15.71,25.64,1.81,5.22,7.30,7.49,10.19,10.34,6.01,16.81,9.35,10.87,6.52
Tubulin beta-3 chain ,Q9ERD7,50 kDa,22.99,10.37,16.25,13.08,4.62,6.08,4.65,6.23,0.00,7.03,3.61,2.29,2.96,2.64,10.35,2.98,0.00,29.30,0.82,11.51,8.38,2.83,5.15,0.00,24.71,8.27,2.96,9.74,1.70,7.27,0.00,1.81,12.93,10.26,0.00,0.00,1.83,4.68,0.00,0.86,0.00,9.34,2.34,4.83,3.26
Tubulin polymerization-promoting protein family member 3 ,Q9CRB6,19 kDa,9.85,4.61,5.42,9.51,9.23,9.12,6.97,6.23,7.51,17.07,4.81,6.88,13.81,16.69,10.35,6.95,10.97,7.32,19.71,6.14,14.25,8.50,13.39,9.04,11.41,5.79,10.87,6.20,5.09,7.27,3.90,6.33,6.47,3.08,8.13,22.63,14.61,9.36,10.19,6.89,10.52,8.41,17.93,9.66,6.52
Tubulin-specific chaperone A ,P48428,13 kDa,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.46,1.53,3.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00
Tumor protein D52-like 2/ isoform CRA_d ,Q8BKP1,22 kDa,9.85,1.15,12.64,7.13,5.77,6.08,0.00,3.74,2.50,5.02,3.61,2.29,0.00,5.27,0.94,3.97,2.19,3.14,4.11,1.53,8.38,9.45,2.06,9.04,5.70,2.48,0.99,0.89,1.70,1.82,1.95,2.71,1.85,2.05,1.81,0.00,3.65,1.87,0.00,0.86,0.00,0.00,0.00,0.00,0.00
Tyrosine-protein kinase BAZ1B ,Q9Z277,171 kDa,0.00,0.00,3.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
U1 small nuclear ribonucleoprotein 70 kDa ,Q62376,52 kDa,1.64,5.76,1.81,7.13,5.77,4.56,1.16,11.21,3.76,5.02,4.81,0.00,2.96,1.76,2.82,4.96,1.10,3.14,1.64,0.00,0.00,0.00,2.06,0.82,0.00,0.83,3.95,7.97,5.09,6.36,5.85,7.23,1.85,5.13,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
U1 small nuclear ribonucleoprotein A ,Q62189,32 kDa,4.93,4.61,7.22,3.57,6.93,4.56,4.65,6.23,8.77,6.03,4.81,3.44,5.92,7.03,6.58,5.96,5.49,2.09,9.85,6.91,5.87,6.61,5.15,5.75,7.60,4.13,4.94,3.54,11.87,7.27,10.72,8.13,9.24,2.05,0.90,0.00,4.57,4.68,2.78,2.59,3.76,0.00,3.12,4.83,3.26
U2 small nuclear ribonucleoprotein A' ,P57784,28 kDa,6.57,10.37,1.81,11.89,10.39,4.56,2.32,4.98,11.27,1.00,3.61,2.29,8.88,5.27,3.76,0.00,8.78,4.19,0.82,3.84,1.68,2.83,4.12,4.93,11.41,0.83,2.96,0.00,0.00,3.64,4.87,4.52,4.62,2.05,0.90,0.00,0.91,1.87,4.63,0.86,6.01,3.74,2.34,0.00,4.35
U2 small nuclear ribonucleoprotein B'' ,Q9CQI7,25 kDa,0.00,2.30,0.00,0.00,0.00,0.00,4.65,0.00,7.51,6.03,0.00,5.74,5.92,0.00,5.64,4.96,7.68,4.19,1.64,2.30,4.19,1.89,8.24,0.82,5.70,0.83,1.98,0.89,1.70,2.73,6.82,2.71,0.00,0.00,1.81,0.00,0.00,0.00,0.00,0.00,3.01,0.00,0.00,0.00,2.17
U6 snRNA-associated Sm-like protein LSm4 ,Q9QXA5,15 kDa,0.00,2.30,10.83,3.57,6.93,1.52,5.81,2.49,6.26,4.02,9.62,4.59,4.93,10.54,6.58,6.95,6.58,5.23,2.46,0.00,5.87,3.78,2.06,4.93,6.65,6.62,2.96,1.77,5.09,1.82,1.95,1.81,0.92,3.08,4.52,0.00,4.57,6.55,5.56,4.31,1.50,2.80,1.56,4.83,5.43
